[2025-12-09 15:52:05,321] 17 root - INFO - Initiate the data ingestion
[2025-12-09 15:52:07,827] 59 root - INFO - performed train test split on the dataframe
[2025-12-09 15:52:07,827] 60 root - INFO - exited split data as train_test_split method of Data_Ingestion class
[2025-12-09 15:52:07,827] 64 root - INFO - Exporting train and test file path
[2025-12-09 15:52:07,857] 72 root - INFO - exported train and test file path
[2025-12-09 15:52:07,857] 19 root - INFO - Data Inititation Completed
[2025-12-09 15:52:07,860] 22 root - INFO - Initiate data validation
[2025-12-09 15:52:07,869] 94 root - INFO - Required number of columns : 2
[2025-12-09 15:52:07,869] 95 root - INFO - Dataframe has columns : 31
[2025-12-09 15:52:07,869] 94 root - INFO - Required number of columns : 2
[2025-12-09 15:52:07,869] 95 root - INFO - Dataframe has columns : 31
